ID_импорт;ID_экспорт;Номер вагона;Страна отправления_импорт;Страна назначения_экспорт;Станция отправления_импорт;Станция назначения_импорт;Станция отправления_экспорт;Станция назначения_экспорт;Дата прибытия_импорт;Дата отправления_экспорт;ves_import;ves_export;Наименование груза;БИН_импорт;БИН_экспорт;Станция_прибытия_импорт;Станция_отправления_экспорт;naimenovanie_plat;комент КТЖ;strana_otpr;strana_nazn;
4193162;4248324;95748968;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;КУРОРТ-БОР.     ;КУРОРТ-БОР.     ;ПЕТРОПАВ.КЗХ    ;2025-06-07;2025-06-09 21:54:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;10740001738;10740001738;693000;693000;ТОО АТК КЕРУЕН;за парожни вагоны взыскивается на месте ;762;643;
581446;619924;56915770;КИТАЙ            ;КИТАЙ            ;АЛТЫНКОЛЬ (Э    ;АЛТЫНКОЛЬ       ;АЛТЫНКОЛЬ       ;АЛТЫНКОЛЬ (Э    ;2025-01-22;2025-01-24 12:28:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4044E+11;1,4044E+11;707608;707608;"ТОО ""Ge Logistics Group""";за парожни вагоны взыскивается на месте ;156;156;
581451;619881;53592689;КИТАЙ            ;КИТАЙ            ;АЛТЫНКОЛЬ (Э    ;АЛТЫНКОЛЬ       ;АЛТЫНКОЛЬ       ;АЛТЫНКОЛЬ (Э    ;2025-01-22;2025-01-24 12:23:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4044E+11;1,4044E+11;707608;707608;"ТОО ""Ge Logistics Group""";за парожни вагоны взыскивается на месте ;156;156;
1199695;1934846;99419749;РОССИЯ           ;АФГАНИСТАН       ;ПЕТРОПАВ.КЗХ    ;ЖАНА-ЕСИЛЬ      ;ЖАНА-ЕСИЛЬ      ;САРЫАГАШ ЭК     ;2025-02-04;2025-02-28 14:34:00;70000;70000;ПШЕНИЦА;1,5094E+11;1,5094E+11;685707;685707;"ТОО ""Темиртау Трейд""";Эти станции Казахстанские , экспорт ;643;4;
1406831;1942654;99239865;КИТАЙ            ;РОССИЯ           ;ДОСТЫК ЭКС      ;ДОСТЫК          ;ДОСТЫК          ;ЛОКОТЬ КЗ-Р     ;2025-02-23;2025-03-01 00:13:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4044E+11;1,4044E+11;708403;708403;"ТОО ""Ge Logistics Group""";за парожни вагоны взыскивается на месте ;156;643;
1916970;1984098;99451965;АЗЕРБАЙДЖАН      ;РОССИЯ           ;ДИНЫ НУРПЕИС    ;ТОБОЛ           ;ТОБОЛ           ;ПЕТРОПАВ.КЗХ    ;2025-03-05;2025-03-05 13:12:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;683102;683102;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;31;643;
1922340;2006416;63818280;РОССИЯ           ;ТАДЖИКИСТАН      ;ЕЛИМАЙ ОБГП     ;АГАДЫРЬ         ;АГАДЫРЬ         ;САРЫАГАШ ЭК     ;2025-03-07;2025-03-07 15:27:00;59050;59050;КУПОРОСЫ,_НЕ_ПОИМ;2,20241E+11;2,20241E+11;677205;677205;"ТОО ""НурТранс-2004""";в процессе взыскания , отправитель отказыввается платить. Со стороны КТЖ уже отработанный кейс ;643;762;
1991232;2083176;95710554;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-03-15;2025-03-16 05:00:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
2018969;2083199;98000326;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-03-15;2025-03-16 05:13:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
2157920;1983608;55857551;УЗБЕКИСТАН       ;УЗБЕКИСТАН       ;САРЫАГАШ ЭК     ;КАЗЫКУРТ        ;КАЗЫКУРТ        ;САРЫАГАШ ЭК     ;2025-03-29;2025-03-05 12:07:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;50740006914;50740006914;698704;698704;ТОО КАЗЫГУРТ ЖОЛЫ;за парожни вагоны взыскивается на месте ;860;860;
2638380;2832630;29150992;ЛАТВИЯ           ;БЕЛАРУСЬ         ;СЕМИГЛ.МАР (    ;ЖИЛАЕВО         ;ЖИЛАЕВО         ;СЕМИГЛ.МАР (    ;2025-04-07;2025-04-19 11:24:00;52947;52947;СБОРНАЯ_ПОВАГОННАЯ;2,21E+11;2,21E+11;666003;666003;"ТОО ""Intel Trans logistic""";Смысла ввозить через границу нет, чтоб потом вывозить. , если станция входа импорт=вход эскпорт , можно тоже не рассматривать ;428;112;
2808937;3582257;54433529;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;ЖАНА-АУЛ        ;ЖАНА-АУЛ        ;ЕЛИМАЙ ОБГП     ;2025-04-20;2025-05-18 06:08:00;5553;5553;ОБОРУДОВАН_НЕСљЕМН;9,51E+11;9,51E+11;674103;674103;"АО ""Qarmet""";считается как порожний вагон , по ним информация запрашивается отдельно;762;643;
3487267;3522178;58547720;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-05-11;2025-05-11 21:19:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,31E+11;1,31E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;762;643;
3578064;3444928;95088076;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-05-21;2025-05-02 20:25:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,20E+11;2,20E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;860;643;
4131057;4200645;29126315;РОССИЯ           ;ТУРКМЕНИСТАН     ;ДИНЫ НУРПЕИС    ;МАНГИСТАУ       ;МАНГИСТАУ       ;БОЛАШАК(ЭКСП    ;2025-06-01;2025-06-04 18:04:00;66345;66345;МАСЛО_ПОДСОЛНЕЧНОЕ;1,61E+11;1,61E+11;663306;663306;ТОО ВИЛМИР;тип груза Масло подсол уже отработано , на месте был взыскан транзитный тариф ;643;795;
4367041;4402523;95505178;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-06-27;2025-06-28 01:48:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
567996;1251786;29846995;ТАДЖИКИСТАН      ;УЗБЕКИСТАН       ;ДЖАББОР РАСУ    ;АРЫС 1          ;АРЫС 1          ;САРЫАГАШ ЭК     ;2025-01-22;2025-02-06 17:08:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4034E+11;1,4034E+11;698004;698004;ТОО ЛОГСОФТ;за парожни вагоны взыскивается на месте ;762;860;
1195074;1220814;59174854;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-02-03;2025-02-03 11:10:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,2044E+11;2,2044E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;860;643;
1382912;1932962;99601544;РОССИЯ           ;АФГАНИСТАН       ;АЛИМБЕТ (ЭКС    ;АЙТЕКЕ II       ;АЙТЕКЕ II       ;БОЛАШАК(ЭКСП    ;2025-02-25;2025-02-28 10:27:00;70000;70000;ПШЕНИЦА;40340003329;40340003329;669105;669105;ТОО ЖАЙЫЛХАНАКТЮБИНСКАЯ ОБЛАСТЬ;;643;4;
2660254;3444928;95088076;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-04-03;2025-05-02 20:25:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,20E+11;2,20E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;762;643;
3390659;3511958;98250756;АЗЕРБАЙДЖАН      ;РОССИЯ           ;ДИНЫ НУРПЕИС    ;СМИРНОВО        ;СМИРНОВО        ;ПЕТРОПАВ.КЗХ    ;2025-05-10;2025-05-10 12:08:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;90740003967;90740003967;687902;687902;"ТОО ""Петропавл Экспресс Логистика""";за парожни вагоны взыскивается на месте ;31;643;
3402557;3444928;95088076;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-05-02;2025-05-02 20:25:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,20E+11;2,20E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;762;643;
3518720;3583224;95549853;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;МАКИНКА         ;МАКИНКА         ;ПЕТРОПАВ.КЗХ    ;2025-05-17;2025-05-18 10:56:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;81140011987;81140011987;692807;692807;"ТОО ""Саба Агро""";за парожни вагоны взыскивается на месте ;860;643;
3579774;4148623;99463259;ЛАТВИЯ           ;РОССИЯ           ;ЕЛИМАЙ ОБГП     ;ТОБОЛ           ;ТОБОЛ           ;ПЕТРОПАВ.КЗХ    ;2025-05-29;2025-05-29 17:26:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,31E+11;1,31E+11;683102;683102;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;428;643;
86525;181339;95550000;РОССИЯ           ;ИРАН             ;ПЕТРОПАВЛОВС    ;КУРОРТ-БОР.     ;КУРОРТ-БОР.     ;АКТАУ-ПОРТ П    ;2025-01-04;2025-01-05 18:05:00;70000;70000;ЯЧМЕНЬ;81140011987;81140011987;693000;693000;ТОО ТРАНСАЗИЯ-ЭКСПЕДИТСЕРВИС;;643;364;
121309;427578;TBJU7320315;РОССИЯ           ;КИТАЙ            ;КЫШТЫМ          ;БАЛХАШ 1        ;БАЛХАШ 1        ;ДОСТЫК ЭКС      ;2025-01-03;2025-01-16 00:00:00;26436;26094;МЕДЬ;1,1044E+11;1,1044E+11;677506;677506;АО  КЕДЕНТРАНССЕРВИС;Контейнеры не показывают АСУ ДКР , нужно информацию получать только по запросу. Если казахмыс завозит они ее обогощают (обогощают делают какие то процессы и везут дальше );643;156;
121544;427619;TBJU7677241;РОССИЯ           ;КИТАЙ            ;КЫШТЫМ          ;БАЛХАШ 1        ;БАЛХАШ 1        ;ДОСТЫК ЭКС      ;2025-01-03;2025-01-16 00:00:00;26406;26077;МЕДЬ;1,1044E+11;1,1044E+11;677506;677506;АО  КЕДЕНТРАНССЕРВИС;Контейнеры не показывают АСУ ДКР , нужно информацию получать только по запросу. Если казахмыс завозит они ее обогощают (обогощают делают какие то процессы и везут дальше );643;156;
